,Donor ID,Project ID,Donation Amount,Donor City,Project Title,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree
5804,53631c936bef2d015cd3882f507d2407,14cc226cd79b32d2cad209c6692d0eb6,200.0,Oakland,Reading - Good for the Mind and Soul!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
5810,de0f7dcdf6eb4c4b4d3ecbad5f62e566,14cc226cd79b32d2cad209c6692d0eb6,50.0,Oakland,Reading - Good for the Mind and Soul!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
6221,1b56b34d6494a7de740d676dde985879,17b0bd33c6a423c13746cb5223b47547,17.31,Oakland,Listening and Learning,Teacher-Led,Technology,Literacy & Language,Literature & Writing
7583,207906649c9ca6962d0704a606a74082,218595cfcf51b9eae8f66a73c4927856,20.0,Oakland,Help For Injured Wrestlers,Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Team Sports"
7775,e93745c93826e1a0643751f28c4f64f9,22a8734f7d91392c64479c6a5c5336d1,30.0,Oakland,World Class Therapy Room!,Teacher-Led,Supplies,Health & Sports,Health & Wellness
8233,0c226691a5a95eea673add90fba47654,269ae6ad22798c2c6e4825e525872053,27.73,Oakland,Learning Words With Boogie Boards,Teacher-Led,Supplies,Literacy & Language,Literature & Writing
9118,8c497dae7357a6de91f4edcd8f2b3380,2cf5326718551c226f7a8752a3f1621d,25.0,Oakland,Making Space for Art,Teacher-Led,Supplies,Music & The Arts,Visual Arts
9368,a0a9d227eadc109fcec528c948f2ea4c,2f21c613f9d8b904160c43e9bacfcf72,50.0,Oakland,Moving and Shaking Our Way Through Learning ,Teacher-Led,Supplies,Math & Science,Mathematics
9759,638e628abb11a8abf6ee90a23900753a,32aa24de43184a646c16dd41c6d7920e,15.0,Oakland,Diverse Learners Need Diverse Books,Teacher-Led,Books,Literacy & Language,Literature & Writing
9824,36308ded96d9d9992b55b900d7d3005b,33740c8cdd838d920cb052b337ef0821,20.0,Oakland,Mindfulness Matters in 3rd Grade,Professional Development,Trips,Health & Sports,Health & Wellness
10549,214af27856037660464d43f26b17852c,3a022d1c94b294f643586d2daa4941fd,48.5,Oakland,A Special Spot,Teacher-Led,Supplies,"Applied Learning, Special Needs","Early Development, Special Needs"
11940,a35228db73d146a33304860bedbdab9a,44ac1506de9c8f7c2057a25ce9d9c0ac,50.0,Oakland,Experience Shakespeare!,Teacher-Led,Books,Literacy & Language,Literacy
12063,4486e40260c7c045cc69c3e3977a0b6a,45c79e87b91cc34f00730c8b949a3e13,50.0,Oakland,"Ready, Set, Go: Staring the Kindergarten Year With New Gear",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
13399,e6d0fde784d5526e0f554478fe5c2d04,4ea024071e37d64f51f47029a8b03e8f,67.65,Oakland,Dynamic Drawing Development,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Visual Arts"
13762,5dd38548b0dcac582c641763d93b1ac3,51859f91700432304dbc0519d891f368,25.0,Oakland,What's a Teacher to Do?,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts"
13763,c6243110936179cac453a0f6587fd773,51859f91700432304dbc0519d891f368,100.0,Oakland,What's a Teacher to Do?,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts"
13847,ab52522027b7d23221ff92fb5d61e3e8,5272cea6c6c785014a7b9604177b709c,40.0,Oakland,Bring Anne Frank to San Jose,Teacher-Led,Visitors,"Applied Learning, History & Civics","Community Service, History & Geography"
16983,8f4608e737682a4eddb485c82a99940f,68d5a0af9bcecc1baf4fa57ae67ca1de,100.0,Oakland,Aquaponics For Healthy Living!,Teacher-Led,Supplies,Math & Science,Applied Sciences
17144,35892f303c6ed9d14ebe28d54b2ecc1e,6a4621b04cee3d7af74d8668349af9da,25.0,Oakland,Classroom Libraries: Giving Students Books That Inspire Them to Read,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
18119,606c289d17f27ea8dfc05645950b87af,71b0344843bf6856e0dfc46c78b42b37,96.16,Oakland,Weaving a Tale: Native American Tricksters,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Visual Arts"
19250,728bca583e992dc5325758e757edcff5,7a50018fae47dac60c05fa33a446a92d,50.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19251,85f99203eb4f4fafe9ffd97978e46fe9,7a50018fae47dac60c05fa33a446a92d,50.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19255,6d71fc4f4058a41ca17f81a6f09f2101,7a50018fae47dac60c05fa33a446a92d,100.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19258,350ddb9cd40e438db87bb08b780a7b4e,7a50018fae47dac60c05fa33a446a92d,50.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19259,385c6ceae748e3ab055523f7970c5161,7a50018fae47dac60c05fa33a446a92d,100.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19260,85a845faf0a5cdac3b2980f94ff02ae9,7a50018fae47dac60c05fa33a446a92d,25.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19265,45d10dbd6da1fbd28d8686fcc7bebf17,7a50018fae47dac60c05fa33a446a92d,25.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19270,d83c5159364688c1f4b7d9e656ed3f92,7a50018fae47dac60c05fa33a446a92d,25.0,Oakland,Bring 21st Century Tech Skills to Students in Oakland!,Professional Development,Trips,Math & Science,"Applied Sciences, Mathematics"
19437,67d885f50755b4bf1e17024bd40722b8,7be26bc999ebd0787792c41ad03f1654,200.0,Oakland,Mask Making - The Me You Do Not See,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts"
19441,337f6edb82d8a3cadb3e9b3a9b60a577,7be26bc999ebd0787792c41ad03f1654,99.0,Oakland,Mask Making - The Me You Do Not See,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts"
19442,414d240cd39ba8e72bc5167895cce383,7be26bc999ebd0787792c41ad03f1654,50.0,Oakland,Mask Making - The Me You Do Not See,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts"
19444,98a1b45f85f2efd374d2ec4cf3f60d0e,7be26bc999ebd0787792c41ad03f1654,300.0,Oakland,Mask Making - The Me You Do Not See,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts"
19449,e8778ef189ddb032fccaeecad1c1290e,7be26bc999ebd0787792c41ad03f1654,10.0,Oakland,Mask Making - The Me You Do Not See,Teacher-Led,Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts"
20225,07b2da52c1d89bb2dd722d002f6c1405,8173d26d2d508aac10f365776f1deeb1,25.0,Oakland, Materials Today For The Leaders of Tomorrow,Teacher-Led,Supplies,Applied Learning,College & Career Prep
21039,3fa37103240e291c9eb8e14566d6a472,86b9e9720a4e3e823d21a92f4bc354da,50.0,Oakland,Making Our Text-Based Thinking Visible,Teacher-Led,Technology,Literacy & Language,Literature & Writing
21802,a2d7bbd58168369cb7631814be8efcec,8b5d92a0d7cfab7d4a298c0af4798802,20.0,Oakland,Snacks for Super Students,Teacher-Led,Supplies,Health & Sports,Nutrition Education
26104,c27049e7b49808f48bff8afdacc50667,ad7d0914c50c8165363f1f3361246576,50.0,Oakland,Book Clubs for Everyone!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
27046,09348a950f267b3b10a118ca062e6ee4,b448c7af98d21c442783ed98a6200b26,100.0,Oakland,Kindergartners Love Non-Fiction Books!,Teacher-Led,Books,"Math & Science, Literacy & Language","Health & Life Science, Literacy"
27426,e270fc445a7793c1052735bccaf4acbc,b76ced4c8cea45f6bf76e384623bc315,100.0,Oakland,"Sharpening Pencils, Sharpening Minds",Teacher-Led,Supplies,History & Civics,History & Geography
28232,0ca504be9b5413be817491f864823e35,be2efea666ca790ac6c6b8098f36750a,25.0,Oakland,Digging Ancient Egypt in San Jose,Teacher-Led,Trips,"History & Civics, Math & Science","History & Geography, Mathematics"
28234,bcaf8229e763e144260de8830d83e852,be2efea666ca790ac6c6b8098f36750a,50.0,Oakland,Digging Ancient Egypt in San Jose,Teacher-Led,Trips,"History & Civics, Math & Science","History & Geography, Mathematics"
28236,0ca66e0a62fbbd41ed6dba43436a40c9,be2efea666ca790ac6c6b8098f36750a,25.0,Oakland,Digging Ancient Egypt in San Jose,Teacher-Led,Trips,"History & Civics, Math & Science","History & Geography, Mathematics"
28237,1f1e683442288808c1c4187e873327b8,be2efea666ca790ac6c6b8098f36750a,50.0,Oakland,Digging Ancient Egypt in San Jose,Teacher-Led,Trips,"History & Civics, Math & Science","History & Geography, Mathematics"
28667,3e8debc11d4b568cfd359eb5ec4555d6,c0c33e0187da9910bed7af85f894525e,10.0,Oakland,Comfy Classroom Furniture To Build Community,Teacher-Led,Supplies,"Literacy & Language, Special Needs","Literacy, Special Needs"
29345,555d75fac534f376e812d45f60965535,c5e553037253481735dd5b9af069683b,44.5,Oakland,Listening Center Support,Teacher-Led,Technology,Literacy & Language,Literacy
29448,4e0f2fd1e83a880fd0d5e89572140732,c697db0175284d2d252f2e70fd36b3ff,25.0,Oakland,Critical Technology for Critical Thinkers,Teacher-Led,Supplies,History & Civics,History & Geography
29449,eb5f73938ab710555530c2e704bc32a2,c697db0175284d2d252f2e70fd36b3ff,50.0,Oakland,Critical Technology for Critical Thinkers,Teacher-Led,Supplies,History & Civics,History & Geography
29560,c6e6036bd86e514a9c794c34cc9ae198,c7266f34a841e743d1f0e26567755155,75.0,Oakland,Animal Party for All,Teacher-Led,Trips,"Math & Science, Special Needs","Environmental Science, Special Needs"
29804,ace039ca3009de229fdb160ecd425b42,c87d6b459965649f14a8697f1e7edcd3,39.81,Oakland,The Author Wants Me to Know...,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
30056,214af27856037660464d43f26b17852c,ca5cc15cba2b1f9f2adc0dc69f148751,48.05,Oakland,Boogie Boards for Class Engagement,Teacher-Led,Supplies,Literacy & Language,Literature & Writing
30242,2822a00f10969e7c6788a2cbede27298,cba87aae447e67dae3d4ba435d4c3b03,1.0,Oakland,Let's Get Physical With New PE Equipment!,Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Health & Wellness"
31943,f081e9a2dfddf924c6323ee7e2784f88,d6eb5e690dbb46ca1e852cea4e0f2515,30.0,Oakland,"""Immortal Life of Henrietta Lacks,"" for Medical Magnet H.S.",Teacher-Led,Books,Math & Science,Health & Life Science
32294,1b9a826d776ddd8ee9e211ac45852123,da1c94c6e49f3383cdeef8151a93d559,99.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32297,3f43c8f2ad2642f85b17ed7722766f1a,da1c94c6e49f3383cdeef8151a93d559,50.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32298,42fc174ccd35a609e0eafc225f1aa582,da1c94c6e49f3383cdeef8151a93d559,25.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32300,4cd11f084d7af856ded8b263d5a8fb43,da1c94c6e49f3383cdeef8151a93d559,25.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32301,590196fa438e3229a88a4bfe3c6f6d3c,da1c94c6e49f3383cdeef8151a93d559,25.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32302,e0285c3247b391d00995050d85c3b5d7,da1c94c6e49f3383cdeef8151a93d559,50.0,Oakland,"Out With the Old Carpet, Bring On a New RUG!",Teacher-Led,Supplies,"Literacy & Language, Math & Science","Literacy, Mathematics"
32369,fdc8bb788ae9a6885b559b0720150b55,da9d0faac7441e1694140d50567c7ebf,10.0,Oakland,Building Conceptual Understanding and Fluency With Math Manipulatives and Games!,Teacher-Led,Supplies,Math & Science,Mathematics
32376,b6bac217068d6d6f3a3f95b3d9ec14b7,da9d0faac7441e1694140d50567c7ebf,10.0,Oakland,Building Conceptual Understanding and Fluency With Math Manipulatives and Games!,Teacher-Led,Supplies,Math & Science,Mathematics
32700,92eaa0ef89dda6005f27f8304614b52d,dd8d842e7c689ee0823f500b7a4aa6f0,50.0,Oakland,Flexible Seating Options for Active Learners,Teacher-Led,Supplies,"Applied Learning, Special Needs","Early Development, Special Needs"
34443,8b2cf456345dabdc79d954e9c50b2562,ea23f748859a79493646ae595bca4411,25.0,Oakland,Supports for Special Needs Students,Teacher-Led,Supplies,Math & Science,Mathematics
34700,be2226da8e5a5a3f9f6954082878cf39,ecc1efc23ae066f652d7da0506a04afe,50.0,Oakland,"Help Me Build a Classroom Library, Book by Book!",Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
36916,aa112c4a5ab76e7abd4714e798613cdc,6abea6e4d28383864f744e9e123d18f4,15.0,Oakland,CSI Cyber: Cracking the Programming Code,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Other"
37197,ca9b458659db12f0aa0370650a986d7d,740ec856deb697ec4d9827d7039135d1,25.0,Oakland,Teach Me Earth: An Outdoor Classroom,Teacher-Led,Supplies,"Math & Science, History & Civics","Environmental Science, History & Geography"
37474,d82ac8b1243a23b1f6784f7acf9e46de,72775a7e2a65f0b530aafb6dbad6232a,176.53,Oakland,iPad Desperately Needed! ,Teacher-Led,Technology,Special Needs,Special Needs
37700,a2343584bb582015fe8cc6e38976e488,99d391fa28a0e182b08a7cb4f710328e,25.0,Oakland,Together Everyone Achieves More!,Teacher-Led,Supplies,History & Civics,"Civics & Government, History & Geography"
38247,20a02d46248f984403dd927779340a78,13686484cd829dc8eca3279a513d27c5,50.0,Oakland,My Class Wants to Read!,Teacher-Led,Books,"History & Civics, Literacy & Language","History & Geography, Literacy"
38251,e200c4cbd493042c39500f4d918bd808,13686484cd829dc8eca3279a513d27c5,25.0,Oakland,My Class Wants to Read!,Teacher-Led,Books,"History & Civics, Literacy & Language","History & Geography, Literacy"
38519,df4abe531fbb25035e68452a75ae41cc,22e66f651b627ea297ba5ce4e644ff8d,50.0,Oakland,We Need Drums,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts"
39067,747191489bc2a72e74e3bcbbe2d84c03,3eaafb39008ef23d3022a2b1ec7d423c,50.0,Oakland,"Be Fit, Be Active, Live Healthy, Let's Move!",Teacher-Led,Other,Health & Sports,"Health & Wellness, Team Sports"
39070,fedfe8977eb40520f073c6d79462e1b9,3eaafb39008ef23d3022a2b1ec7d423c,100.0,Oakland,"Be Fit, Be Active, Live Healthy, Let's Move!",Teacher-Led,Other,Health & Sports,"Health & Wellness, Team Sports"
40231,9321fae91efb141220a8751f32e4d81d,a215f6ccd48ffd83859ed0164a970ee7,20.0,Oakland,Projecting Colored Modalities,Teacher-Led,Technology,Special Needs,Special Needs
41186,97aa9f409b1018624da07a968a14dde2,dbf293d7a032a23414e221479f6c7f35,100.0,Oakland,74 Days through Our Eyes,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing"
41188,86efb669a6a7ab31681cc44c83bf36bb,dbf293d7a032a23414e221479f6c7f35,25.0,Oakland,74 Days through Our Eyes,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing"
41189,2af30b925e72b323d57748dca55ae6f9,dbf293d7a032a23414e221479f6c7f35,30.0,Oakland,74 Days through Our Eyes,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing"
41192,3a06f0d7fbb15d284b7e83fd11776f90,dbf293d7a032a23414e221479f6c7f35,100.0,Oakland,74 Days through Our Eyes,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing"
41193,c87c928478666ccfa7e6450baf85fd9f,dbf293d7a032a23414e221479f6c7f35,50.0,Oakland,74 Days through Our Eyes,Teacher-Led,Books,"Applied Learning, Literacy & Language","Community Service, Literature & Writing"
41553,05e699f825f9fe643322f6d84794b66d,fb34f7fe62c37c056b61bb790d765f0b,40.0,Oakland,Robots For ALL!,Student-Led,Technology,Math & Science,Applied Sciences
41555,5c216ec19171add4bb75fcda509b37da,fb34f7fe62c37c056b61bb790d765f0b,25.0,Oakland,Robots For ALL!,Student-Led,Technology,Math & Science,Applied Sciences
41556,abda18df176545adebacc96807ed53b9,fb34f7fe62c37c056b61bb790d765f0b,35.0,Oakland,Robots For ALL!,Student-Led,Technology,Math & Science,Applied Sciences
41568,7e4e1b7fe57eca63874c0a25f69db2a0,fb34f7fe62c37c056b61bb790d765f0b,20.0,Oakland,Robots For ALL!,Student-Led,Technology,Math & Science,Applied Sciences
42787,881847a5f0fbf791cf444c72dfa709ae,037036cf0d7af7d0a9d0d22a50e9ac46,50.0,Oakland,Supplies To Innovate,Teacher-Led,Supplies,"History & Civics, Music & The Arts","History & Geography, Visual Arts"
43038,1dca2565c38955a1d0ec97c80fb336fd,04a4a908c8a0237c650231c37a8bfc0f,400.0,Oakland,Music is Alive Again!,Teacher-Led,Other,Music & The Arts,Music
43129,945c79969e0d0a902d31770a1499bf0c,05591ef6df1882c87172a2cc966af593,50.0,Oakland,Let's Write!,Teacher-Led,Supplies,Literacy & Language,"Literacy, Literature & Writing"
43294,b9f2a90d3dce0e33d7f8f71fd0919c83,0619b14e1131e722df64d8fc0c1b421e,25.0,Oakland,Central Hip Hop Team,Teacher-Led,Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts"
43498,86c266a8ba3eca4d4c33a81285ecb509,07082993dbd057fe9ca709958e0ef382,10.0,Oakland,"We Are Artists, We Need Tools",Teacher-Led,Supplies,"Math & Science, Music & The Arts","Mathematics, Visual Arts"
45525,7f76f96775abf5d546da54e8592abffa,10bad09c1b664ce4d2587be73fcdbfcc,30.88,Oakland,Paper & Dry Erase Boards,Teacher-Led,Supplies,Music & The Arts,Music
49560,d8643b665cd330545230d73fb718d137,22bfacaf1093827f95cf5436bfbd3b24,25.0,Oakland,Kids Need Orff Xylophones!,Teacher-Led,Other,Music & The Arts,"Music, Performing Arts"
51654,08a5b4380ec3973950260c66df098fe4,2bfd3575be9f0ea8db1e48e01dbc20b0,10.0,Oakland,From Simple To Symphony,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts"
52090,dfe9a984abf847ad52b1445637dbd541,2d898be6ef8e7323b0e00d86d2b7d073,27.0,Oakland,We Need To Print And Make Copies Of Music We Arranged!,Teacher-Led,Technology,Music & The Arts,"Music, Performing Arts"
52824,0c226691a5a95eea673add90fba47654,2ff3613304e6bae28395644b4e0d20a7,129.0,Oakland,Can You Hear Us? We Want Our Voices to be Heard!,Teacher-Led,Technology,Music & The Arts,"Music, Performing Arts"
56963,0c226691a5a95eea673add90fba47654,45cf9dd31d857157b76640dc16f63544,57.45,Oakland,Feeling Glum? Come On and Drum,Teacher-Led,Supplies,Music & The Arts,"Music, Performing Arts"
57517,6de98c79f57445249a8a03581febd797,48709fd9b857b3a5b9e7d742a501d2e7,20.0,Oakland,Raising the Bar for Classes Held in a Juvenile Jail,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Character Education, Literature & Writing"
58488,9cdbc2c08efd075d342812be1d0d4647,4b13074fce7e4d4ac031d896bc594386,10.0,Oakland,"Myths, Monsters, Math, Sorcerers, Sea Creatures, And Science",Teacher-Led,Books,"Literacy & Language, Math & Science","Literacy, Mathematics"
59606,2c5a9fc563fc8c1324db9d73f411b11f,4e794ae2fc207b3057fd7844ec712e93,50.0,Oakland,Reading Area,Teacher-Led,Other,Literacy & Language,Literacy
59607,47e85049d89d48268ba811a95940c375,4e794ae2fc207b3057fd7844ec712e93,100.0,Oakland,Reading Area,Teacher-Led,Other,Literacy & Language,Literacy
59993,4302d039621886a856c08ac42b42a46c,500a7517795bf564603ae50bf6ae48d8,50.0,Oakland,Picasso Lives On!,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Literacy, Visual Arts"
60136,c7b67bf3898e6abe2daeab52c95b670d,5048921aaa357ea1bf3ca314d1d9a8e9,100.0,Oakland,PE Equipment for Child Creativity,Teacher-Led,Supplies,Health & Sports,"Gym & Fitness, Team Sports"
60652,1b1e67302fff928d7a0eecbdd44e3daf,529eeaf97b78d95cdd4017c5dcfbd3ac,20.0,Oakland,Classroom Art Book Set!,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literacy, Visual Arts"
61654,56298abef62d6ae32f0bb8ed2565d8d2,55dcdaa8f5f1d0505b925e5ca70f065a,35.0,Oakland,Wanted: Special Materials for Special Students,Teacher-Led,Supplies,Special Needs,Special Needs
63316,f57318f9d98c23a18d19a2b3a6250281,5cc30efe5b4b9f36882d9467c27789e8,25.0,Oakland,Let's Get Art Smart,Teacher-Led,Supplies,Music & The Arts,Visual Arts
63919,4e0f2fd1e83a880fd0d5e89572140732,602af69046f4e4b199fce8723744f0d7,29.59,Oakland,Wow...It's Magic...It's So Beautiful...I Love It,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Environmental Science, Visual Arts"
66748,5f1603580f1d2a8cf011746d05d48397,6b86a53f88858dff1640a85e35bee05a,14.03,Oakland,African Children's Choir Meets Sunnyside Elementary,Teacher-Led,Visitors,"History & Civics, Music & The Arts","History & Geography, Music"
66819,d5e3e88fe8dcdd06d0d7434cda4b7d51,6bb13f05db612d6fcfbf3c3efed5165c,114.0,Oakland,Oh my imagination is real 3-D printed!,Teacher-Led,Technology,Literacy & Language,"Literacy, Literature & Writing"
66820,c6c6b7289c21708bebe252394407270d,6bb13f05db612d6fcfbf3c3efed5165c,200.0,Oakland,Oh my imagination is real 3-D printed!,Teacher-Led,Technology,Literacy & Language,"Literacy, Literature & Writing"
66822,fd7028df0a2df5d0565de6ccf11e8324,6bb13f05db612d6fcfbf3c3efed5165c,100.0,Oakland,Oh my imagination is real 3-D printed!,Teacher-Led,Technology,Literacy & Language,"Literacy, Literature & Writing"
66899,cf89d553548e1abba9d9570379395813,6bf6f2f749a7fa3fa85a5d2306afb30c,25.0,Oakland,What Are the Things You Carry? ,Teacher-Led,Books,Literacy & Language,Literature & Writing
68229,e639cb0caf3703a56e56c4a14209d4f9,7107dbca865a284183412cd019af7ac5,20.0,Oakland,Looming for a Better Society,Teacher-Led,Supplies,Applied Learning,"Character Education, Community Service"
71444,13cedf16face207368c2d8e50e7002b7,7e64ccd39a0b8a5e07d9621fb6cd8bc7,53.0,Oakland,Linkbots and Math in Computer Class!,Teacher-Led,Technology,"Applied Learning, Math & Science","College & Career Prep, Mathematics"
73328,7f76f96775abf5d546da54e8592abffa,860649c9664713e8249e6fd18ca2ec82,164.16,Oakland,Djembe Jam,Teacher-Led,Other,Music & The Arts,"Music, Performing Arts"
74746,28ef873c84db4f89200b0b6bb28c19e6,8a98f5f97317ac08fc6b64952ab81588,15.0,Oakland,Alvin Ailey Dance Kids: We Would Love A Residency!,Teacher-Led,Visitors,"History & Civics, Music & The Arts","History & Geography, Performing Arts"
75366,808c03a182eb91c81f033466fe05e55e,8c55090bd26a34582104cbb28356c636,50.0,Oakland,Help Create a Classroom Library!,Teacher-Led,Books,Literacy & Language,"Literacy, Literature & Writing"
77743,2e6c0ed9a9b3864948d9691b7f967c2e,9521698fad987c427af4adac7777fe68,25.0,Oakland,AP Environmental Science Ongoing Water Testing,Teacher-Led,Supplies,Math & Science,Environmental Science
80154,08a5b4380ec3973950260c66df098fe4,9d1c6fa82abeda5e2315e70165b2c0e2,10.0,Oakland,Let's Keep the Music Alive!,Teacher-Led,Supplies,Music & The Arts,Music
80706,9bd72166c35896794ecd21ec23b2a128,a03ab244b3c0567fb0a5ce6d33db6875,20.0,Oakland,Give Me Inspiration To Read!,Teacher-Led,Books,Literacy & Language,Literacy
80711,2730031dd9805ea5fdafa10f6e098570,a03ab244b3c0567fb0a5ce6d33db6875,50.0,Oakland,Give Me Inspiration To Read!,Teacher-Led,Books,Literacy & Language,Literacy
80713,44f8e25a96332a46693b32d7b0d073a9,a03ab244b3c0567fb0a5ce6d33db6875,10.0,Oakland,Give Me Inspiration To Read!,Teacher-Led,Books,Literacy & Language,Literacy
81600,4e0f2fd1e83a880fd0d5e89572140732,a3b768622fea88920aa559fadc0ca956,10.0,Oakland,Provide Culturally Relevant Materials for Ms. O's Library,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
81603,dcf3500cfed99f2d9dee233dd67a32aa,a3b768622fea88920aa559fadc0ca956,1.0,Oakland,Provide Culturally Relevant Materials for Ms. O's Library,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
81606,f004840efb99e88b814e6ed03a63396f,a3b768622fea88920aa559fadc0ca956,2.0,Oakland,Provide Culturally Relevant Materials for Ms. O's Library,Teacher-Led,Books,Literacy & Language,"ESL, Literacy"
