,Project Type,Project Resource Category,Project Subject Category Tree,Project Subject Subcategory Tree,projtype_id
798259,Teacher-Led,Instructional Technology,"Special Needs, Music & The Arts","Special Needs, Visual Arts",61
798316,Teacher-Led,Other,"Health & Sports, Applied Learning","Gym & Fitness, Other",62
804128,Student-Led,Instructional Technology,"Literacy & Language, Music & The Arts","Literature & Writing, Visual Arts",63
805464,Teacher-Led,Other,"Health & Sports, Music & The Arts","Health & Wellness, Music",64
825243,Teacher-Led,Other,"Literacy & Language, Applied Learning","Literature & Writing, Other",65
848387,Teacher-Led,Trips,Special Needs,Special Needs,66
850447,Student-Led,Supplies,"Math & Science, Applied Learning","Environmental Science, Extracurricular",67
859218,Teacher-Led,Trips,"History & Civics, Literacy & Language","Civics & Government, Literature & Writing",68
859261,Teacher-Led,Trips,"Math & Science, History & Civics","Health & Life Science, History & Geography",69
860144,Teacher-Led,Technology,History & Civics,Financial Literacy,70
877880,Teacher-Led,Other,"Literacy & Language, Music & The Arts","Literacy, Performing Arts",71
892638,Teacher-Led,Classroom Basics,Special Needs,Special Needs,72
903695,Teacher-Led,Visitors,Music & The Arts,Visual Arts,73
908619,Teacher-Led,Technology,"Math & Science, Health & Sports","Applied Sciences, Health & Wellness",74
913111,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","ESL, Music",75
926452,Teacher-Led,Technology,History & Civics,"Economics, Financial Literacy",76
931215,Teacher-Led,Educational Kits & Games,History & Civics,Financial Literacy,77
946056,Teacher-Led,Visitors,"Warmth, Care & Hunger","Warmth, Care & Hunger",78
946285,Student-Led,Supplies,Applied Learning,"Character Education, Other",79
947725,Teacher-Led,Supplies,"Music & The Arts, Applied Learning","Music, Parent Involvement",80
971361,Teacher-Led,Trips,"Math & Science, Health & Sports","Environmental Science, Gym & Fitness",81
977487,Teacher-Led,Educational Kits & Games,Math & Science,Environmental Science,82
979005,Teacher-Led,Supplies,"History & Civics, Math & Science","Civics & Government, Mathematics",83
983191,Teacher-Led,Supplies,"Math & Science, Literacy & Language","Environmental Science, Foreign Languages",84
987516,Teacher-Led,Supplies,"History & Civics, Math & Science","Financial Literacy, Mathematics",85
1011643,Student-Led,Supplies,"Applied Learning, Math & Science","Community Service, Health & Life Science",86
1014659,Professional Development,Trips,Applied Learning,"Character Education, Other",87
1016702,Student-Led,Supplies,"Applied Learning, Special Needs","College & Career Prep, Special Needs",88
1022409,Teacher-Led,Trips,"Applied Learning, Math & Science","College & Career Prep, Mathematics",89
1023121,Teacher-Led,Classroom Basics,"Math & Science, Literacy & Language","Applied Sciences, ESL",90
1032301,Professional Development,Trips,"Math & Science, Music & The Arts","Mathematics, Visual Arts",91
1035263,Teacher-Led,Supplies,Applied Learning,Community Service,92
1047157,Teacher-Led,Instructional Technology,"Literacy & Language, Music & The Arts","ESL, Music",93
1047660,Teacher-Led,Other,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",94
1053040,Teacher-Led,Flexible Seating,Math & Science,Mathematics,95
1053377,Teacher-Led,Books,"Math & Science, Music & The Arts","Environmental Science, Visual Arts",96
1054702,Teacher-Led,Supplies,"Applied Learning, History & Civics","College & Career Prep, Social Sciences",97
1054765,Teacher-Led,Technology,Applied Learning,"Community Service, Parent Involvement",98
1054805,Teacher-Led,Technology,"Applied Learning, Literacy & Language","Character Education, Literacy",99
1063767,Teacher-Led,Classroom Basics,"Health & Sports, Special Needs","Nutrition Education, Special Needs",100
1066013,Professional Development,Trips,Music & The Arts,Music,101
1072265,Teacher-Led,Trips,"Math & Science, Health & Sports","Environmental Science, Nutrition Education",102
1073640,Teacher-Led,Computers & Tablets,"Applied Learning, Math & Science","College & Career Prep, Environmental Science",103
1077575,Teacher-Led,Computers & Tablets,"Applied Learning, Special Needs","College & Career Prep, Special Needs",104
1086482,Student-Led,Technology,Math & Science,"Applied Sciences, Mathematics",105
1098270,Teacher-Led,Supplies,"Literacy & Language, Math & Science","ESL, Environmental Science",106
1104806,Teacher-Led,Visitors,Health & Sports,Health & Wellness,107
1117505,Teacher-Led,Visitors,Literacy & Language,"ESL, Literature & Writing",108
1119250,Teacher-Led,Supplies,"Health & Sports, Math & Science","Gym & Fitness, Health & Life Science",109
1127446,Teacher-Led,Trips,"Literacy & Language, Math & Science","Literacy, Mathematics",110
1129987,Teacher-Led,Technology,"Math & Science, History & Civics","Applied Sciences, Civics & Government",111
1144423,Teacher-Led,Trips,"Applied Learning, Math & Science","Character Education, Mathematics",112
1145321,Student-Led,Trips,History & Civics,Civics & Government,113
1148087,Teacher-Led,Supplies,"Applied Learning, Literacy & Language","Extracurricular, Literature & Writing",114
1148480,Professional Development,Technology,Math & Science,"Applied Sciences, Mathematics",115
1153580,Teacher-Led,Books,"Applied Learning, Math & Science","Character Education, Mathematics",116
1158751,Teacher-Led,Classroom Basics,Math & Science,Applied Sciences,117
1166061,Teacher-Led,"Reading Nooks, Desks & Storage","Math & Science, Literacy & Language","Applied Sciences, ESL",118
1166889,Teacher-Led,Trips,Health & Sports,Health & Wellness,119
1166942,Teacher-Led,Trips,Applied Learning,"Extracurricular, Other",120
1166970,Teacher-Led,Supplies,"History & Civics, Applied Learning","History & Geography, Parent Involvement",121
1170987,Teacher-Led,Trips,"Applied Learning, History & Civics","Extracurricular, History & Geography",122
1173269,Teacher-Led,Technology,"History & Civics, Music & The Arts","Economics, Visual Arts",123
1184317,Teacher-Led,Visitors,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",124
1184943,Teacher-Led,Trips,"Literacy & Language, History & Civics","Foreign Languages, History & Geography",125
1189428,Teacher-Led,Books,Applied Learning,"Extracurricular, Other",126
1193045,Teacher-Led,Instructional Technology,Music & The Arts,Visual Arts,127
1203416,Teacher-Led,Visitors,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",128
1221112,Teacher-Led,Trips,"Math & Science, Applied Learning","Applied Sciences, Character Education",129
1221852,Teacher-Led,Other,"History & Civics, Music & The Arts","History & Geography, Performing Arts",130
1229610,Student-Led,Technology,Applied Learning,Extracurricular,131
1232863,Teacher-Led,Trips,"Literacy & Language, Special Needs","Literacy, Special Needs",132
1244811,Teacher-Led,Computers & Tablets,"Warmth, Care & Hunger","Warmth, Care & Hunger",133
1249220,Teacher-Led,Books,Music & The Arts,Visual Arts,134
1256781,Teacher-Led,Sports & Exercise Equipment,"Applied Learning, Literacy & Language","Early Development, Literacy",135
1258726,Teacher-Led,Technology,"Literacy & Language, History & Civics","ESL, Social Sciences",136
1265673,Teacher-Led,Supplies,"Applied Learning, History & Civics","Community Service, History & Geography",137
1269610,Teacher-Led,Instructional Technology,"Math & Science, Applied Learning","Applied Sciences, Other",138
1275022,Teacher-Led,Books,Applied Learning,College & Career Prep,139
1279493,Teacher-Led,Computers & Tablets,History & Civics,Financial Literacy,140
1281515,Teacher-Led,Books,Health & Sports,Team Sports,141
1289445,Teacher-Led,Computers & Tablets,"Applied Learning, History & Civics","Character Education, Social Sciences",142
1296192,Teacher-Led,Art Supplies,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",143
1307183,Teacher-Led,Trips,"Applied Learning, Music & The Arts","College & Career Prep, Performing Arts",144
1313509,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Applied Learning","Literacy, Parent Involvement",145
1314914,Teacher-Led,"Food, Clothing & Hygiene",Math & Science,Health & Life Science,146
1314983,Teacher-Led,Other,"Math & Science, Special Needs","Applied Sciences, Special Needs",147
1315118,Teacher-Led,Computers & Tablets,"Applied Learning, Literacy & Language","College & Career Prep, Literature & Writing",148
1315319,Teacher-Led,Supplies,"Health & Sports, History & Civics","Health & Wellness, Social Sciences",149
1316291,Student-Led,Technology,"Applied Learning, Music & The Arts","Community Service, Performing Arts",150
1316363,Student-Led,Supplies,Health & Sports,"Gym & Fitness, Team Sports",151
1316467,Teacher-Led,Other,"Literacy & Language, History & Civics","ESL, History & Geography",152
1316557,Teacher-Led,Other,Applied Learning,"Early Development, Other",153
1316603,Teacher-Led,Visitors,Applied Learning,Early Development,154
1320676,Student-Led,Books,Literacy & Language,"Literacy, Literature & Writing",155
1324669,Teacher-Led,Technology,"Literacy & Language, Applied Learning","Literature & Writing, Parent Involvement",156
1329075,Teacher-Led,Other,History & Civics,History & Geography,157
1332576,Teacher-Led,Instructional Technology,"Health & Sports, Math & Science","Health & Wellness, Mathematics",158
1342087,Teacher-Led,Books,"Literacy & Language, Math & Science","ESL, Mathematics",159
1368670,Teacher-Led,Other,"Math & Science, Applied Learning","Environmental Science, Extracurricular",160
1372855,Teacher-Led,"Food, Clothing & Hygiene",History & Civics,Financial Literacy,161
1375724,Teacher-Led,Trips,"Applied Learning, Health & Sports","Community Service, Team Sports",162
1375753,Teacher-Led,Trips,Health & Sports,Team Sports,163
1377345,Teacher-Led,Books,Applied Learning,"Character Education, Other",164
1380477,Student-Led,Trips,"Literacy & Language, Music & The Arts","Literacy, Visual Arts",165
1388178,Student-Led,Other,"Math & Science, Health & Sports","Environmental Science, Health & Wellness",166
1392932,Teacher-Led,Technology,"Health & Sports, Applied Learning","Health & Wellness, Other",167
1402349,Teacher-Led,Flexible Seating,Math & Science,Environmental Science,168
1403168,Teacher-Led,Supplies,Applied Learning,"Other, Parent Involvement",169
1403542,Teacher-Led,Flexible Seating,History & Civics,"History & Geography, Social Sciences",170
1403591,Teacher-Led,Other,"Math & Science, Literacy & Language","Health & Life Science, Literacy",171
1403611,Teacher-Led,"Reading Nooks, Desks & Storage","Health & Sports, History & Civics","Health & Wellness, Social Sciences",172
1405531,Teacher-Led,Computers & Tablets,Applied Learning,Early Development,173
1410648,Teacher-Led,Books,"Applied Learning, Health & Sports","Extracurricular, Health & Wellness",174
1411465,Student-Led,Supplies,Health & Sports,Team Sports,175
1411859,Professional Development,Books,"Literacy & Language, Math & Science","Literacy, Mathematics",176
1412341,Teacher-Led,Lab Equipment,"Math & Science, Literacy & Language","Applied Sciences, Literature & Writing",177
1414564,Teacher-Led,Other,"Health & Sports, Math & Science","Gym & Fitness, Health & Life Science",178
1421681,Teacher-Led,Computers & Tablets,"Applied Learning, Literacy & Language","College & Career Prep, ESL",179
1430051,Teacher-Led,Technology,History & Civics,"Financial Literacy, Social Sciences",180
1430067,Teacher-Led,Technology,History & Civics,"Economics, History & Geography",181
1430099,Teacher-Led,Other,History & Civics,"History & Geography, Social Sciences",182
1431734,Teacher-Led,Art Supplies,Applied Learning,Other,183
1431934,Teacher-Led,Educational Kits & Games,"Math & Science, Literacy & Language","Applied Sciences, Literacy",184
1435417,Teacher-Led,Supplies,"Math & Science, Music & The Arts","Applied Sciences, Music",185
1435551,Teacher-Led,Musical Instruments,Music & The Arts,Performing Arts,186
1435556,Teacher-Led,"Reading Nooks, Desks & Storage","Applied Learning, Music & The Arts","Early Development, Music",187
1435570,Teacher-Led,Art Supplies,Applied Learning,Early Development,188
1435587,Teacher-Led,Instructional Technology,Literacy & Language,ESL,189
1438154,Teacher-Led,Instructional Technology,"Math & Science, Literacy & Language","Applied Sciences, ESL",190
1439035,Teacher-Led,Technology,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",191
1445221,Teacher-Led,"Food, Clothing & Hygiene","Math & Science, Literacy & Language","Applied Sciences, Literacy",192
1445314,Teacher-Led,Classroom Basics,"Applied Learning, Special Needs","Early Development, Special Needs",193
1445381,Teacher-Led,Educational Kits & Games,Health & Sports,Gym & Fitness,194
1445394,Professional Development,Trips,Music & The Arts,Visual Arts,195
1445456,Teacher-Led,Trips,"Applied Learning, Literacy & Language","Character Education, Literature & Writing",196
1445469,Teacher-Led,Technology,"Math & Science, History & Civics","Applied Sciences, History & Geography",197
1445526,Teacher-Led,Computers & Tablets,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",198
1445561,Teacher-Led,"Reading Nooks, Desks & Storage",Applied Learning,"College & Career Prep, Parent Involvement",199
1445573,Teacher-Led,Supplies,"Applied Learning, Math & Science","Extracurricular, Mathematics",200
1445584,Teacher-Led,Instructional Technology,Applied Learning,"Early Development, Other",201
1445588,Teacher-Led,Instructional Technology,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",202
1445617,Teacher-Led,Books,"Applied Learning, Special Needs","Other, Special Needs",203
1445718,Teacher-Led,Books,History & Civics,"Economics, Financial Literacy",204
1445719,Professional Development,Trips,Applied Learning,Other,205
1445745,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Parent Involvement",206
1445755,Teacher-Led,Technology,"History & Civics, Applied Learning","Economics, Extracurricular",207
1445777,Teacher-Led,Books,"Special Needs, Music & The Arts","Special Needs, Visual Arts",208
1445809,Teacher-Led,Technology,"Applied Learning, Math & Science","College & Career Prep, Health & Life Science",209
1445827,Teacher-Led,Classroom Basics,"Applied Learning, Special Needs","College & Career Prep, Special Needs",210
1445833,Teacher-Led,Classroom Basics,"Literacy & Language, Special Needs","Literacy, Special Needs",211
1445904,Teacher-Led,Instructional Technology,"History & Civics, Applied Learning","History & Geography, Parent Involvement",212
1448577,Teacher-Led,Trips,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",213
1452536,Teacher-Led,Supplies,"Applied Learning, Special Needs","Parent Involvement, Special Needs",214
1455536,Teacher-Led,Visitors,Applied Learning,Character Education,215
1455602,Teacher-Led,Visitors,"Literacy & Language, Health & Sports","Foreign Languages, Gym & Fitness",216
1459105,Teacher-Led,"Reading Nooks, Desks & Storage",Health & Sports,Health & Wellness,217
1461350,Teacher-Led,Trips,History & Civics,Social Sciences,218
1468453,Teacher-Led,Sports & Exercise Equipment,Special Needs,Special Needs,219
1468456,Teacher-Led,Computers & Tablets,"Applied Learning, Health & Sports","Character Education, Gym & Fitness",220
1468467,Student-Led,Books,Health & Sports,Health & Wellness,221
1468471,Teacher-Led,Classroom Basics,"Applied Learning, Health & Sports","Extracurricular, Nutrition Education",222
1468473,Teacher-Led,Instructional Technology,"Health & Sports, Special Needs","Health & Wellness, Special Needs",223
1468475,Teacher-Led,Flexible Seating,"Applied Learning, Health & Sports","Early Development, Health & Wellness",224
1468488,Teacher-Led,Educational Kits & Games,"Applied Learning, Health & Sports","Character Education, Health & Wellness",225
1468492,Teacher-Led,Sports & Exercise Equipment,"Applied Learning, Health & Sports","Character Education, Team Sports",226
1468495,Teacher-Led,Books,"Applied Learning, Health & Sports","Character Education, Health & Wellness",227
1468497,Teacher-Led,"Reading Nooks, Desks & Storage","Literacy & Language, Math & Science","ESL, Mathematics",228
1468518,Teacher-Led,Educational Kits & Games,"Health & Sports, Literacy & Language","Health & Wellness, Literacy",229
1468529,Teacher-Led,"Food, Clothing & Hygiene",Health & Sports,"Gym & Fitness, Health & Wellness",230
1468533,Teacher-Led,Sports & Exercise Equipment,"Health & Sports, Music & The Arts","Gym & Fitness, Performing Arts",231
1468541,Teacher-Led,"Food, Clothing & Hygiene","Literacy & Language, Special Needs","Literacy, Special Needs",232
1468562,Teacher-Led,Computers & Tablets,"Health & Sports, Special Needs","Health & Wellness, Special Needs",233
1468764,Teacher-Led,Trips,"Math & Science, Health & Sports","Environmental Science, Team Sports",234
1468955,Teacher-Led,Other,"Math & Science, History & Civics","Environmental Science, Social Sciences",235
1469223,Professional Development,Books,Math & Science,"Applied Sciences, Environmental Science",236
1469315,Teacher-Led,Trips,"History & Civics, Music & The Arts","History & Geography, Visual Arts",237
1472150,Teacher-Led,Other,"Applied Learning, Music & The Arts","Early Development, Visual Arts",238
1472161,Teacher-Led,Flexible Seating,"Literacy & Language, Special Needs","ESL, Special Needs",239
1472164,Teacher-Led,Books,"Applied Learning, Special Needs","Early Development, Special Needs",240
1483441,Teacher-Led,Visitors,Math & Science,Environmental Science,241
1489991,Teacher-Led,Other,"Math & Science, Literacy & Language","Health & Life Science, Literature & Writing",242
1490150,Teacher-Led,Other,"Literacy & Language, Applied Learning","ESL, Early Development",243
1492395,Teacher-Led,Trips,"Math & Science, Music & The Arts","Applied Sciences, Visual Arts",244
1498154,Teacher-Led,Trips,"Applied Learning, Math & Science","Community Service, Health & Life Science",245
1499558,Teacher-Led,Visitors,"Applied Learning, Literacy & Language","Character Education, Literature & Writing",246
1507530,Student-Led,Technology,"Math & Science, Special Needs","Health & Life Science, Special Needs",247
1507531,Teacher-Led,Other,"Applied Learning, Music & The Arts","Extracurricular, Performing Arts",248
1508049,Teacher-Led,Books,"Math & Science, Health & Sports","Environmental Science, Nutrition Education",249
1520695,Teacher-Led,Other,"Applied Learning, Literacy & Language","College & Career Prep, Literacy",250
1520715,Teacher-Led,Trips,"Health & Sports, Music & The Arts","Health & Wellness, Performing Arts",251
1524683,Teacher-Led,Sports & Exercise Equipment,Health & Sports,"Gym & Fitness, Nutrition Education",252
1525177,Teacher-Led,Lab Equipment,Math & Science,"Environmental Science, Mathematics",253
1543318,Teacher-Led,Art Supplies,Special Needs,Special Needs,254
1552047,Professional Development,Trips,"Applied Learning, Special Needs","Character Education, Special Needs",255
1563433,Professional Development,Trips,Math & Science,Applied Sciences,256
1569709,Teacher-Led,Technology,"Literacy & Language, Applied Learning","ESL, Early Development",257
1584686,Teacher-Led,Supplies,"Math & Science, Health & Sports","Mathematics, Team Sports",258
1600010,Teacher-Led,Books,Health & Sports,"Health & Wellness, Team Sports",259
1601339,Teacher-Led,Other,Applied Learning,"Character Education, Early Development",260
1602515,Teacher-Led,Supplies,Music & The Arts,"Performing Arts, Visual Arts",261
1604287,Teacher-Led,Classroom Basics,Math & Science,"Applied Sciences, Mathematics",262
1604500,Teacher-Led,Trips,"Applied Learning, Health & Sports","Character Education, Gym & Fitness",263
1605095,Teacher-Led,Other,"Applied Learning, Health & Sports","College & Career Prep, Nutrition Education",264
1605480,Student-Led,Visitors,"Literacy & Language, Music & The Arts","Literature & Writing, Performing Arts",265
1605483,Teacher-Led,Computers & Tablets,"Math & Science, Literacy & Language","Health & Life Science, Literacy",266
1605536,Teacher-Led,Technology,"Math & Science, Applied Learning","Applied Sciences, Early Development",267
1605576,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","ESL, Visual Arts",268
1610250,Teacher-Led,Other,Math & Science,Environmental Science,269
1612974,Teacher-Led,Instructional Technology,Applied Learning,College & Career Prep,270
1616295,Teacher-Led,Technology,"Applied Learning, History & Civics","Character Education, History & Geography",271
1620151,Teacher-Led,Computers & Tablets,"Math & Science, Literacy & Language","Environmental Science, Literacy",272
1620233,Student-Led,Technology,Applied Learning,"College & Career Prep, Other",273
1620276,Teacher-Led,Computers & Tablets,Math & Science,Environmental Science,274
1620332,Teacher-Led,Sports & Exercise Equipment,"Special Needs, Health & Sports","Special Needs, Team Sports",275
1625980,Teacher-Led,Computers & Tablets,Applied Learning,College & Career Prep,276
1628538,Professional Development,Books,"Literacy & Language, Special Needs","Literacy, Special Needs",277
1631838,Teacher-Led,Books,"Math & Science, Special Needs","Applied Sciences, Special Needs",278
1633123,Teacher-Led,Supplies,"History & Civics, Music & The Arts","Civics & Government, Visual Arts",279
1633253,Teacher-Led,Supplies,"Math & Science, History & Civics","Applied Sciences, Economics",280
1633370,Teacher-Led,Trips,"History & Civics, Math & Science","Civics & Government, Environmental Science",281
1633591,Teacher-Led,Other,"Applied Learning, Music & The Arts","College & Career Prep, Visual Arts",282
1633680,Teacher-Led,Technology,"Literacy & Language, History & Civics","Foreign Languages, History & Geography",283
1633705,Teacher-Led,Visitors,Applied Learning,"Character Education, Other",284
1635498,Professional Development,Trips,"Health & Sports, Special Needs","Health & Wellness, Special Needs",285
1637233,Teacher-Led,Technology,"Math & Science, History & Civics","Applied Sciences, Financial Literacy",286
1637363,Teacher-Led,Trips,"History & Civics, Music & The Arts","Civics & Government, Performing Arts",287
1640544,Teacher-Led,Supplies,"History & Civics, Music & The Arts","Civics & Government, Performing Arts",288
1643634,Teacher-Led,Sports & Exercise Equipment,"Literacy & Language, History & Civics","ESL, History & Geography",289
1643646,Teacher-Led,Art Supplies,"Special Needs, Music & The Arts","Special Needs, Visual Arts",290
1645396,Teacher-Led,Books,Health & Sports,"Health & Wellness, Nutrition Education",291
1666709,Teacher-Led,Trips,"Literacy & Language, History & Civics","Foreign Languages, Social Sciences",292
1666733,Student-Led,Supplies,Math & Science,"Environmental Science, Health & Life Science",293
1672208,Teacher-Led,Books,Applied Learning,"Character Education, College & Career Prep",294
1675345,Teacher-Led,Technology,"Math & Science, History & Civics","Mathematics, Social Sciences",295
1676460,Teacher-Led,Supplies,"Literacy & Language, Music & The Arts","Foreign Languages, Visual Arts",296
1688830,Teacher-Led,Other,"Applied Learning, Math & Science","Early Development, Environmental Science",297
1693956,Teacher-Led,Trips,"Math & Science, Applied Learning","Applied Sciences, College & Career Prep",298
1696472,Teacher-Led,Trips,"Literacy & Language, Applied Learning","ESL, Early Development",299
1708626,Professional Development,Trips,Literacy & Language,ESL,300
1708911,Teacher-Led,Trips,"History & Civics, Music & The Arts","History & Geography, Performing Arts",301
1708919,Teacher-Led,Supplies,Applied Learning,"College & Career Prep, Parent Involvement",302
1708929,Teacher-Led,Supplies,"Literacy & Language, Math & Science","ESL, Health & Life Science",303
1709090,Teacher-Led,Trips,Literacy & Language,"Foreign Languages, Literacy",304
1709098,Teacher-Led,Instructional Technology,History & Civics,"History & Geography, Social Sciences",305
1709099,Teacher-Led,"Food, Clothing & Hygiene",Math & Science,"Applied Sciences, Mathematics",306
1714780,Teacher-Led,Technology,"Literacy & Language, Math & Science","Foreign Languages, Mathematics",307
1718714,Professional Development,Supplies,Literacy & Language,Literature & Writing,308
1724960,Teacher-Led,Supplies,"Health & Sports, Warmth, Care & Hunger","Health & Wellness, Warmth, Care & Hunger",309
1731123,Teacher-Led,Books,"Literacy & Language, Health & Sports","Literature & Writing, Nutrition Education",310
1747012,Teacher-Led,Other,"Applied Learning, Math & Science","Early Development, Mathematics",311
1750329,Teacher-Led,Visitors,Literacy & Language,"Literacy, Literature & Writing",312
1753349,Teacher-Led,Technology,"Applied Learning, History & Civics","Community Service, History & Geography",313
1756015,Teacher-Led,Art Supplies,Math & Science,Applied Sciences,314
1766558,Teacher-Led,Books,"Literacy & Language, Music & The Arts","Literacy, Music",315
1766858,Teacher-Led,Books,Literacy & Language,"Foreign Languages, Literature & Writing",316
1767407,Teacher-Led,Computers & Tablets,"Literacy & Language, Special Needs","Literature & Writing, Special Needs",317
1767541,Teacher-Led,Flexible Seating,"Literacy & Language, Applied Learning","Literature & Writing, Other",318
